Country,Year,Pop (thousands),
AUS,2020,25500 ,
AUS,2018,24898 ,
AUS,2017,24585 ,
AUS,2016,24263 ,
AUS,2013,23255 ,
CAN,2020,37742 ,
CAN,2018,37075 ,
CAN,2017,36732 ,
CAN,2016,36383 ,
CAN,2013,35297 ,
DEU,2020,83784 ,
DEU,2018,83124 ,
DEU,2017,82658 ,
DEU,2016,82194 ,
DEU,2013,81174 ,
ESP,2020,46755 ,
ESP,2018,46693 ,
ESP,2017,46647 ,
ESP,2016,46634 ,
ESP,2013,46931 ,
FRA,2020,65274 ,
FRA,2018,64991 ,
FRA,2017,64843 ,
FRA,2016,64668 ,
FRA,2013,63894 ,
GBR,2020,67886 ,
GBR,2018,67142 ,
GBR,2017,66727 ,
GBR,2016,66298 ,
GBR,2013,64984 ,
ITA,2020,60462 ,
ITA,2018,60627 ,
ITA,2017,60674 ,
ITA,2016,60663 ,
ITA,2013,60167 ,
JPN,2020,126476 ,
JPN,2018,127202 ,
JPN,2017,127503 ,
JPN,2016,127763 ,
JPN,2013,128314 ,
USA,2020,331003 ,
USA,2018,327096 ,
USA,2017,325085 ,
USA,2016,323016 ,
USA,2013,316401 ,
