climate_model,data_id,model,quantile,reference_period_end_year,reference_period_start_year,region,scenario,stage,todo,unit,variable,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
MAGICC7,c161c383-3787-4380-a37e-5532c7793e63,AIM/CGE,0.5,,,World,Aggresive Action_Probabilistic,climate,not_relevant,10^22 J,Heat Content,45.231345000000005,46.537605,47.688424999999995,48.81037499999999,50.072475,51.442,52.69581,53.90844,55.148435,56.328869999999995,57.48314,58.667625,59.79215,60.986965,62.283425,63.59237,65.04854,66.54186,68.1013,69.68786,71.24698,72.77753,74.21841,75.62305,76.9735,78.53879,80.00958,81.60614,83.283095,84.980355,86.61916,88.1568,89.6349,91.095925,92.63519,94.17623499999999,95.72768500000001,97.29097999999999,98.83602,100.3586,101.880865,103.39689,104.98273,106.50491,108.09455,109.91878,111.365855,113.21149,115.00108,116.79643999999999,118.602525,120.247535,121.86989,123.479885,125.050785,126.617085,128.206115,129.862675,131.490855,133.10797,134.73631,136.38578,137.84395,139.230045,140.60447499999998,141.9509,143.26178,144.590805,145.967965,147.40662500000002,148.84363000000002,150.30038,151.78468,153.28294499999998,154.77282,156.23730999999998,157.494495,158.54946999999999,159.678715,160.828795,162.10881,163.383505,164.662955,165.96438999999998,167.29417,168.64471500000002,169.999115,171.34744999999998,172.53303499999998,173.63779499999998,174.71973,175.779895,177.00702,178.311445,179.63027,180.976,182.34589,183.73755,185.00958500000002,186.13828999999998,187.238265,188.328955,189.478215,190.62396999999999,191.78816,193.007675
MAGICC7,c161c383-3787-4380-a37e-5532c7793e63,AIM/CGE,0.5,,,World,Aggresive Action_Probabilistic,climate,not_relevant,10^22 J,Heat Content|Ocean,40.517615,41.62312,42.68804,43.66229,44.89057,46.22813,47.50356,48.64854,49.69115,50.665775,51.631975,52.614215,53.66794,54.790495,55.94464,57.14576,58.45267,59.79181,61.18343,62.5018,63.64455,64.7345,65.916815,67.119545,68.34397999999999,69.59397999999999,70.88799499999999,72.225155,73.58252,74.96801500000001,76.4726,77.97882999999999,79.48867,80.939645,82.33502,83.64443,84.84660500000001,86.06744,87.3481,88.64283,90.04727,91.50433,92.85119499999999,94.15718,95.43868499999999,96.847765,98.23261,99.61021,100.98399,102.19969499999999,103.37037000000001,104.656645,105.94404499999999,107.05147,108.14364,109.314095,110.56562500000001,111.977285,113.56463,115.035405,116.39712,117.771065,119.14004,120.40495,121.58884499999999,122.79580999999999,123.96023500000001,125.094015,126.21238,127.25916000000001,128.271445,129.446315,130.65007,131.86804999999998,133.07701500000002,134.17934,135.19151,136.09342,136.962915,137.82013,138.71884,139.679615,140.64772,141.69172500000002,142.810335,143.95141,145.033205,146.0633,147.07710500000002,148.07672000000002,149.057665,150.021745,150.984955,151.90454,152.77093000000002,153.669115,154.59490499999998,155.545605,156.62806,157.842845,159.03611,160.13684,161.11043999999998,162.11353,163.16092,164.23572000000001
MAGICC7,c161c383-3787-4380-a37e-5532c7793e63,AIM/CGE,0.5,,,World,Aggresive Action_Probabilistic,climate,not_relevant,GtC / yr,Net Atmosphere to Land Flux|CO2,0.8814249999999999,0.94779,0.08243500000000001,1.076535,1.184245,1.16232,1.35752,1.286105,1.4897,1.28343,1.3932,1.394415,1.50094,1.90237,1.777825,1.783235,1.770335,1.73444,1.90768,1.65223,1.8968600000000002,1.94253,1.99138,2.06879,2.134,2.1585400000000003,2.1969250000000002,2.20863,2.22858,2.2526200000000003,2.275335,2.297335,2.319565,2.3410650000000004,2.36185,2.3809899999999997,2.4101749999999997,2.40632,2.40021,2.381785,2.35609,2.324205,2.28959,2.25253,2.215045,2.19333,2.16427,2.115785,2.0611699999999997,2.005145,1.94583,1.88313,1.817225,1.7495500000000002,1.69767,1.6662050000000002,1.620635,1.593425,1.550575,1.4971,1.4452699999999998,1.393815,1.33382,1.30497,1.264475,1.20574,1.16934,1.11486,1.05535,0.9957,0.9346,0.89117,0.837355,0.785175,0.7352,0.70356,0.675655,0.64226,0.605185,0.57026,0.54711,0.51678,0.485185,0.45853999999999995,0.428435,0.40494,0.3997,0.38188,0.36104,0.34168,0.32536,0.310135,0.29524,0.28834,0.278095,0.25939,0.24085499999999999,0.222385,0.20745,0.19604500000000002,0.18661,0.178775,0.170935,0.163225,0.154745,0.14236
MAGICC7,c161c383-3787-4380-a37e-5532c7793e63,AIM/CGE,0.5,,,World,Aggresive Action_Probabilistic,climate,not_relevant,GtC / yr,Net Atmosphere to Ocean Flux|CO2,1.7400950000000002,1.693395,1.61344,1.7856049999999999,1.85254,1.729435,1.69958,1.799015,1.94835,1.93798,1.923715,1.9855450000000001,1.96755,1.9951599999999998,1.97439,2.03502,2.11571,2.09736,2.1863400000000004,2.156285,2.176615,2.2793099999999997,2.3586650000000002,2.412605,2.45707,2.500645,2.53882,2.5545799999999996,2.564565,2.572935,2.583375,2.599405,2.608675,2.617285,2.61598,2.617775,2.61822,2.590795,2.54524,2.49964,2.4529449999999997,2.401065,2.346185,2.29078,2.23354,2.174055,2.11571,2.067945,2.013275,1.95205,1.8870749999999998,1.8168449999999998,1.74486,1.67421,1.6063100000000001,1.5450949999999999,1.497795,1.452615,1.41305,1.374025,1.3374350000000002,1.302305,1.267605,1.2372800000000002,1.203665,1.1703800000000002,1.1394950000000001,1.115615,1.09604,1.07673,1.05729,1.03456,1.0052699999999999,0.986445,0.96839,0.95231,0.94478,0.9385399999999999,0.930865,0.92078,0.90816,0.89501,0.88273,0.87497,0.85842,0.84052,0.82869,0.82362,0.81938,0.815915,0.812595,0.810785,0.80823,0.80301,0.7966850000000001,0.789615,0.78121,0.77451,0.76752,0.76563,0.766345,0.76598,0.7643599999999999,0.7609250000000001,0.75744,0.7521599999999999
MAGICC7,c161c383-3787-4380-a37e-5532c7793e63,AIM/CGE,0.5,1900.0,1850.0,World,Aggresive Action_Probabilistic,climate,not_relevant,K,Surface Temperature,0.5437014362745096,0.6063378088235292,0.6378088872549018,0.6743942794117646,0.7324486911764704,0.7715633970588234,0.8047381029411763,0.8229721225490194,0.8385382009803919,0.8516215343137252,0.8628564362745096,0.8769357499999999,0.8934776127450978,0.9215319264705881,0.9468021225490195,0.9692401617647057,1.0001383970588233,1.0244008480392155,1.0560352598039213,1.0796494754901957,1.1016202598039213,1.1213857499999997,1.1427958480392153,1.1650074166666664,1.1887491813725488,1.2128951617647057,1.2416804558823527,1.2716320245098036,1.3033068284313725,1.3328640833333332,1.3567263382352939,1.378731926470588,1.4005292794117645,1.4228289852941174,1.4451039852941174,1.4679039852941174,1.4906405539215684,1.517991926470588,1.5475469264705881,1.5788885931372547,1.6086435931372545,1.6376435931372546,1.6607958480392155,1.6818618284313724,1.6985530049019604,1.7122330049019605,1.7230330049019604,1.7335980049019606,1.7439995735294116,1.75694006372549,1.7688340833333331,1.7811995735294115,1.7948145735294116,1.8065815343137255,1.8132315343137253,1.8141465343137253,1.8123815343137253,1.8096251617647057,1.8052901617647055,1.8033295735294115,1.8053282990196076,1.8109682990196074,1.8156282990196075,1.8192832990196075,1.8225732990196075,1.8226682990196075,1.8200732990196076,1.8182970245098036,1.8188770245098036,1.8204220245098035,1.8232870245098036,1.8290220245098037,1.8366270245098038,1.843899671568627,1.8488596715686272,1.8512796715686273,1.8514446715686272,1.8526870245098035,1.8549820245098039,1.8570570245098037,1.8595670245098037,1.8624620245098036,1.8666270245098036,1.8728420245098036,1.8806370245098036,1.8889320245098036,1.8964670245098036,1.9033170245098037,1.9086020245098037,1.9135370245098036,1.9170020245098036,1.9202070245098037,1.9244320245098039,1.9295820245098037,1.9366970245098039,1.9463520245098038,1.9571120245098037,1.9691620245098036,1.9787470245098038,1.9847342794117644,1.9876292794117645,1.9891442794117644,1.9911942794117645,1.9940392794117643,1.9990742794117644,2.0073642794117643
MAGICC7,c161c383-3787-4380-a37e-5532c7793e63,AIM/CGE,0.5,,,World,Aggresive Action_Probabilistic,climate,not_relevant,W/m^2,Effective Radiative Forcing,1.70978,1.782985,1.68762,1.86044,2.062045,2.07276,2.08708,2.07626,2.09088,2.10328,2.09244,2.139015,2.16634,2.27256,2.32048,2.319525,2.456915,2.47882,2.5719700000000003,2.5522549999999997,2.59293,2.5970950000000004,2.6293249999999997,2.6683399999999997,2.718145,2.777675,2.86499,2.93752,2.994135,3.0402,3.07215,3.10376,3.134315,3.176765,3.2114700000000003,3.255705,3.305285,3.355035,3.41968,3.493305,3.52642,3.569815,3.5779249999999996,3.606075,3.6018999999999997,3.60112,3.594545,3.599225,3.6085849999999997,3.623645,3.655565,3.67755,3.70329,3.7055350000000002,3.68949,3.661055,3.6342549999999996,3.617985,3.59901,3.592105,3.5951250000000003,3.603355,3.59891,3.597975,3.597985,3.57579,3.554745,3.53869,3.52988,3.52407,3.52447,3.548315,3.575955,3.58833,3.583875,3.569965,3.54758,3.538335,3.532645,3.52492,3.52466,3.5247650000000004,3.535705,3.55774,3.5831850000000003,3.602945,3.609675,3.61274,3.60494,3.60407,3.59169,3.58696,3.591,3.597585,3.619725,3.657325,3.683905,3.71629,3.71158,3.695925,3.685085,3.672375,3.675515,3.679195,3.697025,3.72573
MAGICC7,c161c383-3787-4380-a37e-5532c7793e63,AIM/CGE,0.5,,,World,Aggresive Action_Probabilistic,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols,-1.16993,-1.110475,-1.2422900000000001,-1.2611050000000001,-1.09968,-1.07604,-1.0767,-1.13929,-1.1570049999999998,-1.15759,-1.183865,-1.18078,-1.18802,-1.12779,-1.097835,-1.16647,-1.0999,-1.15506,-1.09594,-1.15202,-1.13987,-1.13903,-1.1382,-1.13681,-1.1348,-1.130215,-1.121455,-1.11267,-1.10384,-1.0949550000000001,-1.08603,-1.0770749999999998,-1.0680749999999999,-1.0590199999999999,-1.0499200000000002,-1.0346950000000001,-1.0116749999999999,-0.9883500000000001,-0.96472,-0.940825,-0.91662,-0.892065,-0.866985,-0.8410949999999999,-0.814935,-0.791695,-0.7733650000000001,-0.755125,-0.7355050000000001,-0.7156199999999999,-0.69548,-0.6751199999999999,-0.6554,-0.63432,-0.613095,-0.598555,-0.5917049999999999,-0.5846450000000001,-0.577135,-0.56961,-0.563005,-0.55627,-0.54897,-0.542325,-0.53588,-0.531145,-0.5283150000000001,-0.52548,-0.52261,-0.51958,-0.516545,-0.513505,-0.5104599999999999,-0.507405,-0.504345,-0.501055,-0.49753000000000003,-0.49402,-0.49053,-0.48704000000000003,-0.483545,-0.48004,-0.47701,-0.47409999999999997,-0.47118,-0.46859,-0.466475,-0.46436,-0.462245,-0.460125,-0.45799999999999996,-0.45587,-0.453805,-0.451735,-0.44966,-0.447225,-0.44444,-0.44165,-0.43885,-0.43605499999999997,-0.433245,-0.43043,-0.42761000000000005,-0.42479,-0.42195499999999997,-0.41912499999999997
MAGICC7,c161c383-3787-4380-a37e-5532c7793e63,AIM/CGE,0.5,,,World,Aggresive Action_Probabilistic,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols|Direct Effect,-0.351425,-0.350525,-0.354645,-0.355305,-0.335125,-0.336895,-0.33443,-0.327515,-0.33284,-0.33883,-0.3373,-0.33032,-0.32462,-0.31991,-0.301115,-0.291845,-0.289845,-0.28844,-0.28503,-0.288235,-0.28863,-0.28797,-0.28733,-0.28671,-0.28429,-0.2828,-0.28039000000000003,-0.277405,-0.27441499999999996,-0.271425,-0.26843,-0.26544,-0.26245,-0.259455,-0.25646,-0.251885,-0.24367,-0.23570999999999998,-0.22881,-0.222395,-0.21726499999999999,-0.21215499999999998,-0.207055,-0.20132,-0.196225,-0.19194,-0.188805,-0.185685,-0.18258000000000002,-0.17948,-0.17638500000000001,-0.17331,-0.170235,-0.166635,-0.162845,-0.15977000000000002,-0.158645,-0.157525,-0.156395,-0.155275,-0.15415,-0.15298,-0.1513,-0.14962,-0.147945,-0.1466,-0.145955,-0.14530500000000002,-0.14465,-0.144005,-0.14334999999999998,-0.1427,-0.142045,-0.141395,-0.14074,-0.14014,-0.1396,-0.13905499999999998,-0.138505,-0.137965,-0.13742,-0.136875,-0.13633,-0.135785,-0.13542500000000002,-0.13502999999999998,-0.134745,-0.13446,-0.13417,-0.133885,-0.1336,-0.133315,-0.13302999999999998,-0.13274,-0.13245,-0.13200499999999998,-0.13141,-0.13081500000000001,-0.130225,-0.12963,-0.129035,-0.12844,-0.12784,-0.127245,-0.12665,-0.12605
MAGICC7,c161c383-3787-4380-a37e-5532c7793e63,AIM/CGE,0.5,,,World,Aggresive Action_Probabilistic,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols|Indirect Effect,-0.863775,-0.7680899999999999,-0.93159,-0.9502299999999999,-0.7823899999999999,-0.72444,-0.725025,-0.826855,-0.8369949999999999,-0.833005,-0.864835,-0.855695,-0.88036,-0.8105100000000001,-0.790295,-0.8736900000000001,-0.8087850000000001,-0.854645,-0.80646,-0.85043,-0.83937,-0.839345,-0.839315,-0.839275,-0.83924,-0.83611,-0.829865,-0.82359,-0.81728,-0.81092,-0.8045249999999999,-0.7981,-0.791635,-0.7851250000000001,-0.778575,-0.767145,-0.750675,-0.7339249999999999,-0.716915,-0.69883,-0.67957,-0.65996,-0.64,-0.61972,-0.59908,-0.58067,-0.56545,-0.5515300000000001,-0.537405,-0.5230600000000001,-0.508505,-0.49484,-0.47774,-0.460375,-0.44276499999999996,-0.4309,-0.42493000000000003,-0.419465,-0.414675,-0.40986,-0.40503500000000003,-0.400175,-0.394835,-0.389035,-0.38386,-0.380575,-0.37853499999999995,-0.376495,-0.37445,-0.37239500000000003,-0.37033499999999997,-0.368275,-0.36621000000000004,-0.364055,-0.3618,-0.35962,-0.35751,-0.355395,-0.353275,-0.351155,-0.34903,-0.34689499999999995,-0.34476,-0.34262000000000004,-0.34048,-0.33865,-0.33714500000000003,-0.33563,-0.334125,-0.33260999999999996,-0.33109,-0.32957000000000003,-0.32805,-0.326525,-0.32499500000000003,-0.32326,-0.32097,-0.318265,-0.31555500000000003,-0.31284500000000004,-0.31013,-0.3074,-0.30466499999999996,-0.30193000000000003,-0.29919,-0.29644499999999996
MAGICC7,c161c383-3787-4380-a37e-5532c7793e63,AIM/CGE,0.5,,,World,Aggresive Action_Probabilistic,climate,not_relevant,W/m^2,Effective Radiative Forcing|CH4,0.47623000000000004,0.47691,0.47846999999999995,0.481705,0.48460000000000003,0.484475,0.48389000000000004,0.484755,0.48644,0.48663999999999996,0.48628,0.48626,0.488265,0.49171,0.49302500000000005,0.49509499999999995,0.49695,0.49771,0.500335,0.503525,0.50726,0.5125649999999999,0.51767,0.52268,0.52761,0.532445,0.53718,0.54158,0.54565,0.5495749999999999,0.5534600000000001,0.557115,0.5605549999999999,0.563805,0.566875,0.569785,0.57254,0.5745100000000001,0.575755,0.5763199999999999,0.576245,0.575575,0.574365,0.57272,0.5707,0.56826,0.56543,0.56236,0.558995,0.555265,0.55135,0.547465,0.543445,0.53918,0.53454,0.52976,0.52488,0.5204599999999999,0.5164,0.5120899999999999,0.5087200000000001,0.505795,0.5031699999999999,0.500845,0.498795,0.497,0.495465,0.49433499999999997,0.49359,0.49319,0.49311499999999997,0.493335,0.49382,0.494535,0.49546999999999997,0.49662,0.49797,0.499545,0.501325,0.503295,0.50544,0.50774,0.5101899999999999,0.512775,0.5154650000000001,0.51825,0.52112,0.5240400000000001,0.527005,0.5300149999999999,0.533075,0.5361899999999999,0.5393399999999999,0.542535,0.54575,0.5489900000000001,0.552235,0.555485,0.558735,0.562,0.56528,0.568595,0.571915,0.57525,0.5785899999999999,0.58192
