climate_model,data_id,model,quantile,reference_period_end_year,reference_period_start_year,region,scenario,stage,todo,unit,variable,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
MAGICC7,f9f8b49b-ab7c-49eb-8e43-6ba2e4d38fb0,AIM/CGE,0.5,,,World,Delayed Recognition_Probabilistic,climate,not_relevant,10^22 J,Heat Content,45.231345000000005,46.537605,47.688424999999995,48.81037499999999,50.072475,51.442,52.69581,53.90844,55.148435,56.328869999999995,57.48314,58.667625,59.79215,60.986965,62.283425,63.59237,65.04854,66.54186,68.1013,69.68786,71.24696,72.77721,74.21742,75.621425,76.97125,78.532895,79.987885,81.56366,83.18886499999999,84.85258,86.503975,88.08618,89.57156499999999,91.11431,92.69208499999999,94.28060500000001,95.88355999999999,97.39548,98.92395,100.50798,102.146415,104.07376500000001,105.86927,107.6141,109.28051,110.86151,112.577405,114.46511,116.48236,118.609595,120.82722000000001,123.09068500000001,125.395945,127.890465,130.328145,132.60799,134.948345,137.27432,139.62723499999998,142.10028499999999,144.47397999999998,146.882575,149.31849,151.76833,154.23446,156.69725,159.14879,161.34777,163.540335,165.737905,167.944965,170.1763,172.435475,174.709645,176.81292000000002,178.90363000000002,181.44553,183.98344,186.65085,189.26288,191.704065,193.84831,196.29097000000002,198.75432,201.266775,203.97187,206.18619,208.39164,210.5853,212.795705,215.02526999999998,217.24822999999998,219.62661500000002,222.004705,224.393395,226.8053,229.233815,231.67748999999998,234.11091,236.506555,238.86836,241.20105999999998,243.51596,245.821705,248.130065,250.42413
MAGICC7,f9f8b49b-ab7c-49eb-8e43-6ba2e4d38fb0,AIM/CGE,0.5,,,World,Delayed Recognition_Probabilistic,climate,not_relevant,10^22 J,Heat Content|Ocean,40.517615,41.62312,42.68804,43.66229,44.89057,46.22813,47.50356,48.64854,49.69115,50.665775,51.631975,52.614215,53.66794,54.790495,55.94464,57.14576,58.45267,59.79181,61.18343,62.5018,63.64452,64.734025,65.91568,67.11779,68.34171,69.58746,70.86675,72.18420499999999,73.52436,74.886695,76.37634,77.872805,79.37912499999999,80.847325,82.25636,83.6363,84.86692,86.12135,87.421075,88.78935,90.191055,91.790475,93.41864000000001,94.996035,96.43817,97.875215,99.331805,100.98455000000001,102.46689,104.02157,105.9631,108.09384,109.98938,111.870845,113.52438000000001,115.16769500000001,116.850745,118.6134,120.382265,122.1469,123.82653,125.52495,127.431655,129.6644,131.67382,133.65219000000002,135.620415,137.685335,139.690735,141.704485,143.73026,145.78093,147.859245,149.95335999999998,151.840745,153.957215,156.28835,158.60584,160.920265,162.8404,164.66664,166.88786,169.11864,171.36486000000002,173.46852,175.479075,177.484665,179.48046499999998,181.461235,183.42936,185.38174500000002,187.37056,189.510605,191.65467999999998,193.80551,195.88067999999998,197.97787,200.09476999999998,202.20123,204.26502499999998,206.290035,208.281675,210.25329499999998,212.21531499999998,214.18173000000002,216.172075
MAGICC7,f9f8b49b-ab7c-49eb-8e43-6ba2e4d38fb0,AIM/CGE,0.5,,,World,Delayed Recognition_Probabilistic,climate,not_relevant,GtC / yr,Net Atmosphere to Land Flux|CO2,0.8814249999999999,0.94779,0.08243500000000001,1.076535,1.184245,1.16232,1.35752,1.286105,1.4897,1.28343,1.3932,1.394415,1.50094,1.90237,1.777825,1.783235,1.770335,1.73444,1.90768,1.65223,1.8968699999999998,1.941865,1.99029,2.06744,2.132975,2.15913,2.183415,2.19811,2.22448,2.259905,2.297275,2.3367,2.378285,2.420715,2.46359,2.5065749999999998,2.5494450000000004,2.5864000000000003,2.6215,2.64988,2.65906,2.66696,2.67176,2.6780850000000003,2.6914949999999997,2.70918,2.7266250000000003,2.73983,2.7587349999999997,2.780175,2.80553,2.8421849999999997,2.876845,2.8930249999999997,2.89992,2.903805,2.90732,2.9073200000000003,2.90986,2.9138450000000002,2.919135,2.912875,2.89223,2.86951,2.845605,2.8222449999999997,2.81179,2.7950150000000002,2.7781599999999997,2.76354,2.744905,2.71863,2.700055,2.6906049999999997,2.65179,2.5925599999999998,2.57845,2.56403,2.54692,2.52595,2.499155,2.47074,2.4386900000000002,2.401825,2.362075,2.32228,2.279975,2.24388,2.20971,2.17475,2.17739,2.179025,2.151055,2.11421,2.070645,2.020245,1.97141,1.9336099999999998,1.91327,1.90964,1.898585,1.874,1.8616899999999998,1.82652,1.79332,1.7545700000000002
MAGICC7,f9f8b49b-ab7c-49eb-8e43-6ba2e4d38fb0,AIM/CGE,0.5,,,World,Delayed Recognition_Probabilistic,climate,not_relevant,GtC / yr,Net Atmosphere to Ocean Flux|CO2,1.7400950000000002,1.693395,1.61344,1.7856049999999999,1.85254,1.729435,1.69958,1.799015,1.94835,1.93798,1.923715,1.9855450000000001,1.96755,1.9951599999999998,1.97439,2.03502,2.11571,2.09736,2.1863400000000004,2.156285,2.176615,2.2793200000000002,2.3590850000000003,2.414165,2.45939,2.50391,2.544215,2.5761849999999997,2.613915,2.6524799999999997,2.692765,2.73689,2.78087,2.8261950000000002,2.865485,2.90382,2.94292,2.9755849999999997,3.00516,3.0345250000000004,3.05707,3.08222,3.107135,3.1344000000000003,3.160445,3.1893700000000003,3.2182,3.23939,3.257545,3.2703699999999998,3.27898,3.280395,3.289135,3.29956,3.312055,3.3272,3.3426299999999998,3.349965,3.35112,3.3468299999999997,3.3381600000000002,3.328175,3.319065,3.3114850000000002,3.3023800000000003,3.292805,3.2828,3.2687299999999997,3.251685,3.23015,3.2059949999999997,3.179265,3.14884,3.12071,3.09462,3.07093,3.04757,3.02166,2.99445,2.968575,2.9430199999999997,2.91562,2.8850350000000002,2.850205,2.80767,2.764465,2.723735,2.689685,2.659875,2.6315150000000003,2.598195,2.56631,2.53179,2.49378,2.455395,2.41377,2.36962,2.33291,2.2981800000000003,2.27314,2.2553150000000004,2.23355,2.21351,2.187485,2.16078,2.13
MAGICC7,f9f8b49b-ab7c-49eb-8e43-6ba2e4d38fb0,AIM/CGE,0.5,1900.0,1850.0,World,Delayed Recognition_Probabilistic,climate,not_relevant,K,Surface Temperature,0.5437014362745096,0.6063378088235292,0.6378088872549018,0.6743942794117646,0.7324486911764704,0.7715633970588234,0.8047381029411763,0.8229721225490194,0.8385382009803919,0.8516215343137252,0.8628564362745096,0.8769357499999999,0.8934776127450978,0.9215319264705881,0.9468021225490195,0.9692401617647057,1.0001383970588233,1.0244008480392155,1.0560352598039213,1.0796494754901957,1.1016102598039212,1.1213307499999998,1.1427258480392155,1.1649074166666664,1.188659181372549,1.2119351617647058,1.240441926470588,1.2691805539215684,1.3009555539215683,1.3314318284313722,1.3575740833333332,1.3810451617647055,1.4032326127450978,1.4270443774509802,1.4502043774509803,1.4739093774509802,1.4984518284313724,1.5265100637254898,1.5572986911764704,1.5908336911764702,1.6236355539215683,1.6571771225490193,1.6892371225490193,1.7209121225490194,1.7498443774509802,1.775498200980392,1.8019882009803918,1.829493200980392,1.8576173186274507,1.886827318627451,1.9198523186274508,1.9549284950980388,1.9922234950980386,2.0276734950980386,2.058643495098039,2.0851901617647055,2.1116151617647057,2.1380751617647054,2.164550161764706,2.1923001617647055,2.222450161764706,2.254615161764706,2.285680161764706,2.3158751617647058,2.3456201617647054,2.3728551617647056,2.3984751617647055,2.4244584950980386,2.452508495098039,2.4809784950980385,2.509400848039215,2.538305848039215,2.5687758480392153,2.5950147696078427,2.619099769607843,2.6407297696078427,2.6610442794117644,2.681459181372549,2.7011530049019608,2.7181180049019606,2.7348630049019604,2.7514180049019608,2.768613004901961,2.7873280049019606,2.807337416666666,2.8272224166666664,2.8467618284313723,2.8668168284313724,2.8849968284313725,2.9022368284313727,2.9177668284313727,2.9324918284313726,2.9490084950980395,2.9666934950980393,2.985578495098039,3.0058834950980393,3.0267972205882354,3.0494372205882354,3.0694322205882356,3.083544475490196,3.094084475490196,3.103049475490196,3.112229475490196,3.121834475490196,3.133159475490196,3.147189475490196
MAGICC7,f9f8b49b-ab7c-49eb-8e43-6ba2e4d38fb0,AIM/CGE,0.5,,,World,Delayed Recognition_Probabilistic,climate,not_relevant,W/m^2,Effective Radiative Forcing,1.70978,1.782985,1.68762,1.86044,2.062045,2.07276,2.08708,2.07626,2.09088,2.10328,2.09244,2.139015,2.16634,2.27256,2.32048,2.319525,2.456915,2.47882,2.5719700000000003,2.5522549999999997,2.59288,2.59657,2.628645,2.66764,2.71761,2.773275,2.85194,2.92101,2.980905,3.03422,3.06518,3.10724,3.1456150000000003,3.189045,3.23156,3.284525,3.34066,3.39696,3.4630650000000003,3.53856,3.594,3.659905,3.705825,3.76256,3.80167,3.83855,3.8851199999999997,3.93487,3.98998,4.04753,4.1246100000000006,4.199,4.272705,4.318149999999999,4.339494999999999,4.36802,4.41394,4.4574549999999995,4.5020050000000005,4.554375,4.617815,4.68379,4.73036,4.779920000000001,4.82818,4.86129,4.901635,4.941405,4.987385,5.027895,5.069025,5.12415,5.18258,5.22523,5.254075,5.27778,5.29954,5.3282050000000005,5.34861,5.36398,5.388075000000001,5.414555,5.45698,5.504985,5.549185,5.57959,5.59836,5.617495,5.628155,5.642635,5.639505,5.64185,5.653185000000001,5.666135000000001,5.696054999999999,5.73347,5.7622599999999995,5.79478,5.79823,5.7866800000000005,5.778499999999999,5.7672799999999995,5.769064999999999,5.771065,5.78783,5.81016
MAGICC7,f9f8b49b-ab7c-49eb-8e43-6ba2e4d38fb0,AIM/CGE,0.5,,,World,Delayed Recognition_Probabilistic,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols,-1.16993,-1.110475,-1.2422900000000001,-1.2611050000000001,-1.09968,-1.07604,-1.0767,-1.13929,-1.1570049999999998,-1.15759,-1.183865,-1.18078,-1.18802,-1.12779,-1.097835,-1.16647,-1.0999,-1.15506,-1.09594,-1.15202,-1.1399,-1.13948,-1.13907,-1.1380849999999998,-1.136485,-1.137115,-1.13952,-1.14191,-1.144305,-1.146695,-1.149085,-1.15147,-1.1538499999999998,-1.1562299999999999,-1.158605,-1.160065,-1.1602999999999999,-1.1605349999999999,-1.160765,-1.161,-1.161225,-1.161245,-1.16112,-1.160995,-1.16087,-1.15972,-1.15719,-1.15466,-1.1521249999999998,-1.149575,-1.14703,-1.144475,-1.141915,-1.13934,-1.1367699999999998,-1.130855,-1.120995,-1.1108349999999998,-1.1006049999999998,-1.09033,-1.079995,-1.069585,-1.0591,-1.04857,-1.03797,-1.02604,-1.012375,-0.9986200000000001,-0.984765,-0.97078,-0.9566749999999999,-0.942485,-0.9281699999999999,-0.913715,-0.89914,-0.8843650000000001,-0.869265,-0.8540099999999999,-0.83861,-0.823095,-0.8074349999999999,-0.791605,-0.775995,-0.761525,-0.746345,-0.73191,-0.72026,-0.708575,-0.69682,-0.684995,-0.67294,-0.6606650000000001,-0.649165,-0.6370800000000001,-0.62493,-0.6143000000000001,-0.605565,-0.5963099999999999,-0.5869949999999999,-0.57765,-0.56854,-0.5596,-0.5506,-0.54157,-0.53247,-0.5235350000000001
MAGICC7,f9f8b49b-ab7c-49eb-8e43-6ba2e4d38fb0,AIM/CGE,0.5,,,World,Delayed Recognition_Probabilistic,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols|Direct Effect,-0.351425,-0.350525,-0.354645,-0.355305,-0.335125,-0.336895,-0.33443,-0.327515,-0.33284,-0.33883,-0.3373,-0.33032,-0.32462,-0.31991,-0.301115,-0.291845,-0.289845,-0.28844,-0.28503,-0.288235,-0.28863,-0.28807,-0.28754,-0.28702,-0.28473000000000004,-0.28407,-0.284605,-0.28514,-0.285675,-0.28620999999999996,-0.28674999999999995,-0.287285,-0.28782,-0.28835500000000003,-0.288895,-0.28926,-0.28907000000000005,-0.288885,-0.28869500000000003,-0.28851000000000004,-0.28832,-0.28813500000000003,-0.28794,-0.287755,-0.28756499999999996,-0.287595,-0.28720999999999997,-0.28683000000000003,-0.28645,-0.286065,-0.285675,-0.28529499999999997,-0.284905,-0.28452500000000003,-0.284135,-0.28283,-0.28005,-0.27727500000000005,-0.27449,-0.27171,-0.26894,-0.26615500000000003,-0.263375,-0.26060000000000005,-0.25782499999999997,-0.25466999999999995,-0.25082,-0.24698,-0.243245,-0.23972,-0.2359,-0.232095,-0.228295,-0.22566,-0.22312500000000002,-0.220655,-0.217935,-0.21517999999999998,-0.21242,-0.20934,-0.206255,-0.20317000000000002,-0.20009,-0.197015,-0.193945,-0.191025,-0.188805,-0.186585,-0.184165,-0.18159999999999998,-0.179035,-0.17673,-0.17448000000000002,-0.17222500000000002,-0.16998000000000002,-0.16785,-0.16612,-0.16438999999999998,-0.162655,-0.16093000000000002,-0.1592,-0.15747499999999998,-0.15574,-0.154015,-0.15228999999999998,-0.150055
MAGICC7,f9f8b49b-ab7c-49eb-8e43-6ba2e4d38fb0,AIM/CGE,0.5,,,World,Delayed Recognition_Probabilistic,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols|Indirect Effect,-0.863775,-0.7680899999999999,-0.93159,-0.9502299999999999,-0.7823899999999999,-0.72444,-0.725025,-0.826855,-0.8369949999999999,-0.833005,-0.864835,-0.855695,-0.88036,-0.8105100000000001,-0.790295,-0.8736900000000001,-0.8087850000000001,-0.854645,-0.80646,-0.85043,-0.839405,-0.83967,-0.83993,-0.84019,-0.840445,-0.841415,-0.8430850000000001,-0.84476,-0.846425,-0.84809,-0.849755,-0.8514200000000001,-0.8530800000000001,-0.85473,-0.85639,-0.85738,-0.8577049999999999,-0.8580300000000001,-0.85836,-0.858685,-0.85901,-0.859335,-0.85966,-0.85999,-0.8604,-0.8594,-0.85709,-0.85482,-0.852555,-0.850275,-0.847995,-0.845715,-0.84343,-0.8411299999999999,-0.83883,-0.8339,-0.8263050000000001,-0.81864,-0.8109200000000001,-0.8031600000000001,-0.7953399999999999,-0.787445,-0.7795049999999999,-0.77151,-0.76345,-0.7543850000000001,-0.7442850000000001,-0.7341,-0.7238249999999999,-0.713435,-0.7029399999999999,-0.692355,-0.6815,-0.66964,-0.65766,-0.64544,-0.63297,-0.62034,-0.60758,-0.59468,-0.58164,-0.56843,-0.55507,-0.5429550000000001,-0.531185,-0.521085,-0.5127200000000001,-0.50429,-0.49578500000000003,-0.48719500000000004,-0.478535,-0.469685,-0.45969000000000004,-0.449595,-0.439415,-0.43074,-0.42359,-0.41639000000000004,-0.409145,-0.402785,-0.39710500000000004,-0.39139,-0.38564,-0.37949999999999995,-0.372255,-0.366265
MAGICC7,f9f8b49b-ab7c-49eb-8e43-6ba2e4d38fb0,AIM/CGE,0.5,,,World,Delayed Recognition_Probabilistic,climate,not_relevant,W/m^2,Effective Radiative Forcing|CH4,0.47623000000000004,0.47691,0.47846999999999995,0.481705,0.48460000000000003,0.484475,0.48389000000000004,0.484755,0.48644,0.48663999999999996,0.48628,0.48626,0.488265,0.49171,0.49302500000000005,0.49509499999999995,0.49695,0.49771,0.500335,0.503525,0.50726,0.5125649999999999,0.51768,0.5227299999999999,0.527695,0.53258,0.537385,0.542285,0.5472600000000001,0.5524249999999999,0.557895,0.5634399999999999,0.569035,0.574695,0.5804,0.586145,0.59192,0.5976250000000001,0.603255,0.60881,0.6142749999999999,0.6196649999999999,0.62498,0.6302300000000001,0.6354299999999999,0.6405799999999999,0.64569,0.6506700000000001,0.65553,0.6602600000000001,0.66488,0.66938,0.673755,0.678015,0.68225,0.68641,0.690345,0.69402,0.697465,0.700745,0.70385,0.70676,0.7094849999999999,0.712045,0.71445,0.71672,0.718925,0.72095,0.72271,0.7241850000000001,0.725305,0.7262,0.7268749999999999,0.727185,0.726955,0.727035,0.726975,0.7266649999999999,0.72614,0.7254050000000001,0.724475,0.7233700000000001,0.7221,0.72067,0.719095,0.71736,0.7154050000000001,0.71333,0.7111799999999999,0.70897,0.7067,0.704395,0.702045,0.699665,0.69717,0.69457,0.6919200000000001,0.689395,0.686975,0.68467,0.682485,0.68042,0.6784749999999999,0.676635,0.67489,0.6732100000000001
