climate_model,data_id,model,quantile,reference_period_end_year,reference_period_start_year,region,scenario,stage,todo,unit,variable,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
MAGICC7,4449379c-d28f-4c47-94c8-fe62ca6d4178,AIM/CGE,0.5,,,World,Little and Late_Probabilistic,climate,not_relevant,10^22 J,Heat Content,45.231345,46.537605,47.688425,48.810375,50.072475,51.442,52.69581,53.90844,55.148435,56.32887,57.48314,58.667625,59.79215,60.986965,62.283425,63.59237,65.04854,66.54186,68.1013,69.68786,71.24697,72.77738,74.21794,75.62228,76.972435,78.534015,79.989005,81.564225,83.190485,84.85353,86.50414,88.083115,89.568145,91.10897,92.68583,94.273415,95.875325,97.3883,98.91562,100.49858,102.134545,104.060545,105.856575,107.6029,109.26722,110.84816,112.55624,114.45735,116.455645,118.580655,120.796675,123.05987,125.36451,127.845385,130.316025,132.61753,134.950765,137.284135,139.63372,142.114885,144.634735,147.083025,149.565815,152.070255,154.59923,157.13284,159.66216,162.080005,164.38367,166.70492,169.049115,171.431815,173.85727,176.154315,178.182105,180.33981,182.88929,185.6288,188.381335,191.145445,193.759805,196.31181,199.15764,201.75967,204.58036,207.30402,209.945795,212.71682,215.53517,218.419495,221.306465,224.1973,227.142305,230.191655,233.2809,236.424945,239.61978,242.862305,246.072645,249.246685,252.414275,255.579675,258.75387,261.945255,265.165455,268.431145
MAGICC7,4449379c-d28f-4c47-94c8-fe62ca6d4178,AIM/CGE,0.5,,,World,Little and Late_Probabilistic,climate,not_relevant,10^22 J,Heat Content|Ocean,40.517615,41.62312,42.68804,43.66229,44.89057,46.22813,47.50356,48.64854,49.69115,50.665775,51.631975,52.614215,53.66794,54.790495,55.94464,57.14576,58.45267,59.79181,61.18343,62.5018,63.64454,64.73428,65.91628,67.118715,68.34291,69.588725,70.867665,72.184475,73.52389,74.886225,76.375045,77.87062,79.37598,80.84327,82.251335,83.62978,84.85927,86.112495,87.41111,88.77856,90.179335,91.77627,93.4032,94.984015,96.42628,97.86327,99.3144,100.964125,102.45232,103.99568,105.911895,108.0374,109.98329,111.88134,113.578865,115.239785,116.90569,118.68418,120.472785,122.277045,124.02342,125.76474,127.52295,129.694535,131.84223,133.81516,135.77588,137.95206,140.081995,142.171305,144.28294,146.43061,148.61775,150.833085,152.853225,154.90833,157.28231,159.750735,162.23076,164.298895,166.25069,168.668035,171.110645,173.59105,176.052825,178.33782,180.64053,183.18794,185.31824,187.6787,190.236885,192.795135,195.370565,197.970265,200.60539,203.29039,206.020495,208.79213,211.5751,214.340415,217.093565,219.84047,222.59359,225.36178,228.15691,230.99558
MAGICC7,4449379c-d28f-4c47-94c8-fe62ca6d4178,AIM/CGE,0.5,,,World,Little and Late_Probabilistic,climate,not_relevant,GtC / yr,Net Atmosphere to Land Flux|CO2,0.881425,0.94779,0.082435,1.076535,1.184245,1.16232,1.35752,1.286105,1.4897,1.28343,1.3932,1.394415,1.50094,1.90237,1.777825,1.783235,1.770335,1.73444,1.90768,1.65223,1.896865,1.942215,1.99087,2.06816,2.133515,2.159395,2.18303,2.19746,2.22322,2.258475,2.295725,2.335075,2.376645,2.41907,2.461975,2.50499,2.54763,2.584865,2.62025,2.64929,2.658905,2.667375,2.67267,2.6795,2.693445,2.71207,2.72882,2.74344,2.767615,2.79323,2.823175,2.8563,2.897295,2.91966,2.932045,2.941495,2.94711,2.95602,2.96765,2.982655,3.000495,3.000125,2.99229,2.98298,2.972885,2.96381,2.97166,2.98475,3.00091,3.0147,3.02347,3.02158,3.01708,3.01656,3.025625,3.028125,3.049935,3.07483,3.09499,3.114235,3.129015,3.141225,3.14632,3.142005,3.133385,3.12717,3.131395,3.141185,3.160205,3.176835,3.179795,3.16838,3.16267,3.15933,3.15883,3.159735,3.139945,3.13461,3.12994,3.07305,3.038765,3.03517,3.033055,3.0303,3.02511,3.01543
MAGICC7,4449379c-d28f-4c47-94c8-fe62ca6d4178,AIM/CGE,0.5,,,World,Little and Late_Probabilistic,climate,not_relevant,GtC / yr,Net Atmosphere to Ocean Flux|CO2,1.740095,1.693395,1.61344,1.785605,1.85254,1.729435,1.69958,1.799015,1.94835,1.93798,1.923715,1.985545,1.96755,1.99516,1.97439,2.03502,2.11571,2.09736,2.18634,2.156285,2.176615,2.279315,2.358855,2.413345,2.458165,2.502185,2.541815,2.573715,2.61127,2.64999,2.690275,2.73461,2.77876,2.82429,2.86377,2.90227,2.94162,2.97492,3.005155,3.035555,3.0593,3.08541,3.11118,3.139525,3.16682,3.196825,3.22694,3.252625,3.275725,3.29457,3.309475,3.317935,3.33185,3.349295,3.368945,3.391365,3.414535,3.436335,3.455805,3.46884,3.477595,3.483115,3.491895,3.50393,3.516235,3.528125,3.542525,3.5562,3.56827,3.578365,3.5859,3.59245,3.59305,3.593805,3.59827,3.607985,3.620775,3.633375,3.64306,3.649885,3.65762,3.6629,3.66756,3.667965,3.66712,3.6689,3.67236,3.677845,3.683985,3.6914,3.698025,3.70697,3.71466,3.717755,3.71838,3.715225,3.71364,3.712745,3.71192,3.716735,3.723555,3.73339,3.7432,3.74656,3.748195,3.74406
MAGICC7,4449379c-d28f-4c47-94c8-fe62ca6d4178,AIM/CGE,0.5,1900,1850,World,Little and Late_Probabilistic,climate,not_relevant,K,Surface Temperature,0.543701436,0.606337809,0.637808887,0.674394279,0.732448691,0.771563397,0.804738103,0.822972123,0.838538201,0.851621534,0.862856436,0.87693575,0.893477613,0.921531926,0.946802123,0.969240162,1.000138397,1.024400848,1.05603526,1.079649475,1.10161026,1.12136075,1.142760848,1.164962417,1.188709181,1.212085162,1.240571926,1.269120554,1.300855554,1.331236828,1.357324083,1.380722613,1.402847613,1.426719377,1.449854377,1.473524377,1.497991828,1.525935064,1.556838691,1.590388691,1.623175554,1.656647123,1.688732123,1.720457123,1.749594377,1.775093201,1.801443201,1.828858201,1.856057319,1.885147319,1.918167319,1.953113495,1.990558495,2.026263495,2.057603495,2.084738495,2.111498495,2.138498495,2.165883495,2.195278495,2.228123495,2.263600162,2.296800162,2.329450162,2.361985162,2.392230162,2.420960162,2.449255162,2.478180162,2.507910162,2.538865162,2.574128495,2.613023495,2.652113495,2.686305848,2.717970848,2.747465848,2.776670848,2.806180848,2.835415848,2.865000848,2.894940848,2.926125848,2.957648005,2.990343005,3.023453005,3.055573005,3.086663005,3.115963005,3.144623005,3.171778005,3.198493005,3.22829173,3.261636828,3.296711828,3.334071632,3.373761632,3.414371632,3.453416632,3.490216632,3.525991632,3.560812417,3.588782417,3.617507417,3.651111142,3.688966142
MAGICC7,4449379c-d28f-4c47-94c8-fe62ca6d4178,AIM/CGE,0.5,,,World,Little and Late_Probabilistic,climate,not_relevant,W/m^2,Effective Radiative Forcing,1.70978,1.782985,1.68762,1.86044,2.062045,2.07276,2.08708,2.07626,2.09088,2.10328,2.09244,2.139015,2.16634,2.27256,2.32048,2.319525,2.456915,2.47882,2.57197,2.552255,2.59291,2.59685,2.629005,2.668015,2.71789,2.773405,2.85168,2.92078,2.980365,3.03357,3.0645,3.1065,3.144695,3.18806,3.230495,3.2833,3.3392,3.39571,3.461565,3.53696,3.59244,3.658755,3.704725,3.76168,3.80103,3.837495,3.88226,3.930855,3.98694,4.04499,4.126815,4.202985,4.280935,4.328965,4.35317,4.37377,4.42213,4.468305,4.51518,4.575585,4.64061,4.710735,4.76513,4.82071,4.87531,4.917785,4.965745,5.01262,5.06522,5.11928,5.17693,5.248505,5.321075,5.384525,5.437795,5.481815,5.52005,5.566565,5.61646,5.664995,5.712335,5.76173,5.81852,5.88593,5.95728,6.01881,6.073185,6.126475,6.172335,6.219165,6.252595,6.30195,6.356995,6.40943,6.473495,6.546665,6.615775,6.689925,6.734125,6.76824,6.805925,6.84091,6.88604,6.93229,6.992015,7.061165
MAGICC7,4449379c-d28f-4c47-94c8-fe62ca6d4178,AIM/CGE,0.5,,,World,Little and Late_Probabilistic,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols,-1.16993,-1.110475,-1.24229,-1.261105,-1.09968,-1.07604,-1.0767,-1.13929,-1.157005,-1.15759,-1.183865,-1.18078,-1.18802,-1.12779,-1.097835,-1.16647,-1.0999,-1.15506,-1.09594,-1.15202,-1.13989,-1.13924,-1.13861,-1.137415,-1.135595,-1.13615,-1.138635,-1.14112,-1.1436,-1.146075,-1.14856,-1.151025,-1.153495,-1.155965,-1.15843,-1.16008,-1.16063,-1.16118,-1.161735,-1.162285,-1.162835,-1.16309,-1.16327,-1.163455,-1.16363,-1.163605,-1.16318,-1.16276,-1.162335,-1.161905,-1.16148,-1.161055,-1.160625,-1.160195,-1.159765,-1.157525,-1.15324,-1.148935,-1.144615,-1.14029,-1.135945,-1.131585,-1.12721,-1.122825,-1.118425,-1.113945,-1.109335,-1.104715,-1.10008,-1.095425,-1.09075,-1.08607,-1.08137,-1.07665,-1.071915,-1.06714,-1.06226,-1.05735,-1.05243,-1.047495,-1.042545,-1.03757,-1.03253,-1.027435,-1.02233,-1.01739,-1.01288,-1.008365,-1.00383,-0.999275,-0.99471,-0.990135,-0.98554,-0.980925,-0.976295,-0.97096,-0.964855,-0.958715,-0.95255,-0.946365,-0.940155,-0.933915,-0.92765,-0.921365,-0.91505,-0.90871
MAGICC7,4449379c-d28f-4c47-94c8-fe62ca6d4178,AIM/CGE,0.5,,,World,Little and Late_Probabilistic,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols|Direct Effect,-0.351425,-0.350525,-0.354645,-0.355305,-0.335125,-0.336895,-0.33443,-0.327515,-0.33284,-0.33883,-0.3373,-0.33032,-0.32462,-0.31991,-0.301115,-0.291845,-0.289845,-0.28844,-0.28503,-0.288235,-0.28863,-0.28802,-0.28743,-0.28685,-0.284495,-0.283805,-0.284365,-0.28492,-0.285475,-0.286035,-0.286595,-0.28715,-0.287715,-0.28827,-0.28883,-0.289235,-0.28913,-0.28903,-0.288925,-0.288825,-0.288725,-0.28862,-0.28852,-0.288415,-0.28831,-0.28859,-0.28896,-0.28933,-0.2897,-0.29007,-0.29044,-0.29081,-0.29117,-0.29151,-0.291845,-0.291665,-0.29075,-0.289835,-0.288915,-0.287995,-0.287075,-0.286155,-0.285235,-0.284315,-0.283395,-0.282395,-0.281265,-0.280135,-0.279,-0.27787,-0.27673,-0.2756,-0.274465,-0.27333,-0.27219,-0.27113,-0.27009,-0.269045,-0.268005,-0.26696,-0.26592,-0.264875,-0.263835,-0.262785,-0.261745,-0.260575,-0.259465,-0.25836,-0.257255,-0.256155,-0.25525,-0.254465,-0.253675,-0.25289,-0.2521,-0.251045,-0.249665,-0.248275,-0.24689,-0.245505,-0.244115,-0.24273,-0.241335,-0.239945,-0.23856,-0.237165
MAGICC7,4449379c-d28f-4c47-94c8-fe62ca6d4178,AIM/CGE,0.5,,,World,Little and Late_Probabilistic,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols|Indirect Effect,-0.863775,-0.76809,-0.93159,-0.95023,-0.78239,-0.72444,-0.725025,-0.826855,-0.836995,-0.833005,-0.864835,-0.855695,-0.88036,-0.81051,-0.790295,-0.87369,-0.808785,-0.854645,-0.80646,-0.85043,-0.839385,-0.839495,-0.8396,-0.839705,-0.83981,-0.840735,-0.84247,-0.844205,-0.845935,-0.847665,-0.849395,-0.851115,-0.85284,-0.854555,-0.856275,-0.857405,-0.857955,-0.858505,-0.859065,-0.859615,-0.860165,-0.86072,-0.861275,-0.861975,-0.86268,-0.86266,-0.861915,-0.861175,-0.86043,-0.859685,-0.85894,-0.858195,-0.857445,-0.8567,-0.855955,-0.85369,-0.850145,-0.8466,-0.84304,-0.839475,-0.8359,-0.832305,-0.8287,-0.825085,-0.82146,-0.8178,-0.814115,-0.81042,-0.806715,-0.80299,-0.799255,-0.79551,-0.791755,-0.787975,-0.784185,-0.780285,-0.77627,-0.772235,-0.768185,-0.764125,-0.760045,-0.75595,-0.751835,-0.747715,-0.743575,-0.7397,-0.736095,-0.732485,-0.72886,-0.72522,-0.721565,-0.717905,-0.71423,-0.71054,-0.70683,-0.702645,-0.697965,-0.69326,-0.68853,-0.68379,-0.679025,-0.67423,-0.669415,-0.66427,-0.65895,-0.65359
MAGICC7,4449379c-d28f-4c47-94c8-fe62ca6d4178,AIM/CGE,0.5,,,World,Little and Late_Probabilistic,climate,not_relevant,W/m^2,Effective Radiative Forcing|CH4,0.47623,0.47691,0.47847,0.481705,0.4846,0.484475,0.48389,0.484755,0.48644,0.48664,0.48628,0.48626,0.488265,0.49171,0.493025,0.495095,0.49695,0.49771,0.500335,0.503525,0.50726,0.512565,0.517675,0.522705,0.52765,0.53251,0.53728,0.542155,0.547105,0.552255,0.557715,0.56325,0.568845,0.5745,0.580205,0.585955,0.59174,0.597465,0.603125,0.608725,0.61424,0.61969,0.625075,0.630405,0.635685,0.64092,0.64612,0.65128,0.656395,0.66147,0.666485,0.67144,0.676335,0.681165,0.68595,0.69075,0.695475,0.70005,0.70461,0.7092,0.713765,0.71829,0.72276,0.727195,0.73159,0.73595,0.740285,0.7446,0.74887,0.75312,0.757345,0.761545,0.76577,0.77,0.77419,0.77827,0.782325,0.78624,0.7899,0.793855,0.797795,0.801715,0.80561,0.80948,0.81332,0.817115,0.82087,0.824495,0.82801,0.831425,0.834745,0.83799,0.84117,0.84427,0.8473,0.850255,0.853125,0.85588,0.85852,0.861065,0.863535,0.865955,0.868075,0.870145,0.87216,0.874125
