climate_model,data_id,model,quantile,reference_period_end_year,reference_period_start_year,region,scenario,stage,todo,unit,variable,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
MAGICC7,7c01a245-3e72-4681-b8d6-fc7ceadd2690,AIM/CGE,0.5,,,World,Modal Path_Probabilistic,climate,not_relevant,10^22 J,Heat Content,45.231345000000005,46.537605,47.688424999999995,48.81037499999999,50.072475,51.442,52.69581,53.90844,55.148435,56.328869999999995,57.48314,58.667625,59.79215,60.986965,62.283425,63.59237,65.04854,66.54186,68.1013,69.68786,71.24696,72.77717,74.2173,75.62122,76.97097,78.53377499999999,79.99357,81.57609,83.216095,84.89038500000001,86.55185,88.10936000000001,89.592405,91.11119500000001,92.67736500000001,94.25129000000001,95.837875,97.38269,98.89637,100.46026,102.10533000000001,103.84877,105.58694,107.2028,108.82021,110.43561,112.07013,113.96616499999999,116.02672999999999,118.109795,120.227445,122.42738,124.65238500000001,126.819025,128.99366500000002,131.12648000000002,133.055925,134.99048499999998,137.01029,139.03321499999998,141.07792,143.152125,145.23263500000002,147.3055,149.372595,151.136155,152.85422,154.53748,156.27045500000003,158.04554,159.876015,161.81104,163.83095,165.94099,168.03490499999998,170.11733500000003,171.97667,174.00646999999998,175.82470999999998,177.615175,179.38346,181.13559,182.682955,184.110655,185.554805,187.007185,188.64769,190.59025,192.50934,194.40658000000002,196.27803999999998,198.03530999999998,199.53515,201.032515,202.53796499999999,204.064605,205.60971,207.171745,208.727325,210.251765,211.747625,213.21885,214.675535,216.125775,217.58038499999998,219.054485
MAGICC7,7c01a245-3e72-4681-b8d6-fc7ceadd2690,AIM/CGE,0.5,,,World,Modal Path_Probabilistic,climate,not_relevant,10^22 J,Heat Content|Ocean,40.517615,41.62312,42.68804,43.66229,44.89057,46.22813,47.50356,48.64854,49.69115,50.665775,51.631975,52.614215,53.66794,54.790495,55.94464,57.14576,58.45267,59.79181,61.18343,62.5018,63.644515,64.73397,65.91554,67.11756500000001,68.341425,69.588415,70.872465,72.196395,73.54229,74.91155,76.40617499999999,77.90601,79.413735,80.87699,82.28202999999999,83.64108999999999,84.862415,86.105455,87.38962000000001,88.73913,90.234625,91.76224500000001,93.29271,94.797185,96.18437,97.55915,99.05654,100.57423,101.93693,103.76498,105.492655,107.196755,108.74544,110.22132,111.74656,113.30135999999999,114.84612,116.33979,117.813795,119.353065,121.191225,123.045535,124.74922,126.54457500000001,128.448235,130.18894,131.750625,133.27786500000002,134.78566999999998,136.28253999999998,137.834245,139.53530999999998,141.27845000000002,143.027905,144.76252499999998,146.29191,147.790365,149.352075,150.89564000000001,152.46327,153.930465,155.430495,156.92879,158.2987,159.481625,160.7286,162.13088499999998,163.516815,164.87714,166.21395,167.522505,168.989505,170.51333,172.026775,173.33469,174.66777,176.02131500000002,177.393,178.75543,180.08175,181.37736,182.647785,183.90491500000002,185.15731,186.42934000000002,187.80865
MAGICC7,7c01a245-3e72-4681-b8d6-fc7ceadd2690,AIM/CGE,0.5,,,World,Modal Path_Probabilistic,climate,not_relevant,GtC / yr,Net Atmosphere to Land Flux|CO2,0.8814249999999999,0.94779,0.08243500000000001,1.076535,1.184245,1.16232,1.35752,1.286105,1.4897,1.28343,1.3932,1.394415,1.50094,1.90237,1.777825,1.783235,1.770335,1.73444,1.90768,1.65223,1.8968699999999998,1.9417749999999998,1.99016,2.06728,2.13285,2.15874,2.18787,2.201885,2.226775,2.25889,2.2919099999999997,2.3261149999999997,2.361895,2.398015,2.43424,2.4700800000000003,2.50849,2.533405,2.5564150000000003,2.5726199999999997,2.5793600000000003,2.5749750000000002,2.57698,2.5724150000000003,2.57427,2.579725,2.5861799999999997,2.579495,2.56578,2.54295,2.51537,2.507835,2.494865,2.470085,2.4439,2.42252,2.399395,2.36667,2.33953,2.307725,2.262925,2.2071199999999997,2.15329,2.103435,2.0648400000000002,2.01458,1.978405,1.9610349999999999,1.940615,1.90477,1.86018,1.815715,1.768775,1.71655,1.662515,1.623265,1.5761699999999998,1.526135,1.4990649999999999,1.49741,1.480245,1.42271,1.3658649999999999,1.313445,1.263875,1.22039,1.175835,1.11509,1.08321,1.0433599999999998,1.01214,0.974855,0.9496,0.903905,0.8600000000000001,0.81338,0.7677400000000001,0.7229650000000001,0.680215,0.64732,0.61582,0.58735,0.565505,0.544385,0.5156350000000001,0.49351
MAGICC7,7c01a245-3e72-4681-b8d6-fc7ceadd2690,AIM/CGE,0.5,,,World,Modal Path_Probabilistic,climate,not_relevant,GtC / yr,Net Atmosphere to Ocean Flux|CO2,1.7400950000000002,1.693395,1.61344,1.7856049999999999,1.85254,1.729435,1.69958,1.799015,1.94835,1.93798,1.923715,1.9855450000000001,1.96755,1.9951599999999998,1.97439,2.03502,2.11571,2.09736,2.1863400000000004,2.156285,2.176615,2.2793200000000002,2.359135,2.4143600000000003,2.459685,2.504315,2.54438,2.57186,2.60119,2.63098,2.66319,2.69682,2.729,2.7629349999999997,2.7900549999999997,2.81528,2.8440149999999997,2.8606,2.87105,2.87272,2.87096,2.873025,2.8743600000000002,2.88021,2.8843550000000002,2.89184,2.900115,2.89547,2.88069,2.859465,2.83473,2.8016300000000003,2.77183,2.7438,2.716675,2.6908149999999997,2.674425,2.64228,2.60047,2.5548200000000003,2.501155,2.44166,2.38189,2.32822,2.27812,2.2183,2.156285,2.104635,2.0575650000000003,2.01221,1.96637,1.918015,1.86564,1.813985,1.765375,1.719745,1.68225,1.655345,1.623275,1.592395,1.56396,1.53399,1.50291,1.47106,1.43839,1.4046750000000001,1.37144,1.34739,1.326835,1.310365,1.2906,1.27369,1.25507,1.2335349999999998,1.210925,1.184185,1.16296,1.14796,1.1344599999999998,1.12221,1.10834,1.097505,1.08642,1.07571,1.066405,1.0557699999999999
MAGICC7,7c01a245-3e72-4681-b8d6-fc7ceadd2690,AIM/CGE,0.5,1900.0,1850.0,World,Modal Path_Probabilistic,climate,not_relevant,K,Surface Temperature,0.5437014362745096,0.6063378088235292,0.6378088872549018,0.6743942794117646,0.7324486911764704,0.7715633970588234,0.8047381029411763,0.8229721225490194,0.8385382009803919,0.8516215343137252,0.8628564362745096,0.8769357499999999,0.8934776127450978,0.9215319264705881,0.9468021225490195,0.9692401617647057,1.0001383970588233,1.0244008480392155,1.0560352598039213,1.0796494754901957,1.1016102598039212,1.1213257499999998,1.1427158480392154,1.1648974166666666,1.1886491813725488,1.2121051617647056,1.2411854558823527,1.2698505539215683,1.3017518284313723,1.3321768284313722,1.3576490833333332,1.3801951617647057,1.402187220588235,1.4250013382352937,1.447456338235294,1.4709739852941175,1.4957739852941174,1.5227538872549018,1.5515105539215686,1.5840505539215683,1.6160501617647056,1.6491351617647056,1.6793551617647056,1.7086851617647056,1.7329324166666664,1.7544824166666664,1.7753874166666663,1.797038200980392,1.821093200980392,1.8478943774509802,1.87848937745098,1.91043937745098,1.9392601617647056,1.9654701617647057,1.9876651617647056,2.0061351617647056,2.0263720245098034,2.0464720245098036,2.0661220245098035,2.084587514705882,2.105418495098039,2.12961075,2.1479807499999994,2.1646657499999997,2.1786030049019605,2.18891300490196,2.1959630049019605,2.2017430049019606,2.2076680049019606,2.2139530049019607,2.2210130049019607,2.2305780049019606,2.2417130049019605,2.252378004901961,2.2605480049019606,2.2655430049019607,2.267350161764706,2.270485651960784,2.2753056519607844,2.279665651960784,2.284250651960784,2.289065651960784,2.295055651960784,2.303115651960784,2.3127756519607843,2.322590651960784,2.3308856519607843,2.337965651960784,2.3431006519607838,2.3475806519607842,2.3504506519607844,2.352930651960784,2.353847906862745,2.355832906862745,2.360597906862745,2.368957906862745,2.379022906862745,2.3905479068627447,2.398907906862745,2.402497906862745,2.4036129068627448,2.403277906862745,2.4057416323529406,2.409431632352941,2.415031632352941,2.423371632352941
MAGICC7,7c01a245-3e72-4681-b8d6-fc7ceadd2690,AIM/CGE,0.5,,,World,Modal Path_Probabilistic,climate,not_relevant,W/m^2,Effective Radiative Forcing,1.70978,1.782985,1.68762,1.86044,2.062045,2.07276,2.08708,2.07626,2.09088,2.10328,2.09244,2.139015,2.16634,2.27256,2.32048,2.319525,2.456915,2.47882,2.5719700000000003,2.5522549999999997,2.59288,2.5965100000000003,2.628555,2.667555,2.7175450000000003,2.774505,2.856345,2.9267250000000002,2.9846500000000002,3.036455,3.07102,3.11284,3.14662,3.187215,3.2269750000000004,3.275925,3.32403,3.374965,3.4443349999999997,3.522485,3.5737,3.630365,3.66944,3.7164349999999997,3.74815,3.779815,3.817205,3.853745,3.8903,3.93176,3.9896900000000004,4.04389,4.0979399999999995,4.1327300000000005,4.1448,4.147295,4.16716,4.184835,4.20964,4.24769,4.287005000000001,4.320175,4.339375,4.36214,4.380965,4.372495,4.359265000000001,4.352964999999999,4.3524650000000005,4.35396,4.36104,4.39077,4.41547,4.42908,4.4255949999999995,4.41135,4.38888,4.381325,4.378105,4.3708100000000005,4.36603,4.36143,4.3652750000000005,4.377750000000001,4.391385,4.39947,4.39733,4.394674999999999,4.38265,4.376825,4.3603000000000005,4.351305,4.35074,4.353065,4.368695000000001,4.391995,4.409635,4.434755,4.428834999999999,4.41272,4.40257,4.38872,4.387085000000001,4.386195000000001,4.39357,4.415945
MAGICC7,7c01a245-3e72-4681-b8d6-fc7ceadd2690,AIM/CGE,0.5,,,World,Modal Path_Probabilistic,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols,-1.16993,-1.110475,-1.2422900000000001,-1.2611050000000001,-1.09968,-1.07604,-1.0767,-1.13929,-1.1570049999999998,-1.15759,-1.183865,-1.18078,-1.18802,-1.12779,-1.097835,-1.16647,-1.0999,-1.15506,-1.09594,-1.15202,-1.13991,-1.13954,-1.13918,-1.138245,-1.1367,-1.135805,-1.13474,-1.133675,-1.132615,-1.13154,-1.13047,-1.129405,-1.12833,-1.1272600000000002,-1.126185,-1.12283,-1.11653,-1.110205,-1.1038549999999998,-1.0974949999999999,-1.0911149999999998,-1.084705,-1.078275,-1.071835,-1.0653700000000002,-1.05617,-1.043415,-1.030585,-1.01766,-1.00462,-0.991485,-0.97827,-0.9649449999999999,-0.951505,-0.9379500000000001,-0.920795,-0.89925,-0.8774,-0.8552649999999999,-0.83287,-0.80996,-0.78678,-0.76458,-0.74072,-0.71653,-0.69681,-0.68283,-0.6689050000000001,-0.65608,-0.6412249999999999,-0.626745,-0.612515,-0.59819,-0.5826450000000001,-0.5668599999999999,-0.5554399999999999,-0.54904,-0.542915,-0.536065,-0.52988,-0.5236700000000001,-0.51744,-0.51118,-0.50491,-0.49710999999999994,-0.49045,-0.48636999999999997,-0.48229,-0.478205,-0.474475,-0.47109,-0.46775,-0.464405,-0.461045,-0.457675,-0.45436,-0.45118,-0.44799500000000003,-0.444805,-0.44161,-0.43840999999999997,-0.435195,-0.431975,-0.42876000000000003,-0.425525,-0.42229
MAGICC7,7c01a245-3e72-4681-b8d6-fc7ceadd2690,AIM/CGE,0.5,,,World,Modal Path_Probabilistic,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols|Direct Effect,-0.351425,-0.350525,-0.354645,-0.355305,-0.335125,-0.336895,-0.33443,-0.327515,-0.33284,-0.33883,-0.3373,-0.33032,-0.32462,-0.31991,-0.301115,-0.291845,-0.289845,-0.28844,-0.28503,-0.288235,-0.28863,-0.28809,-0.28756,-0.28705,-0.284785,-0.28390499999999996,-0.283525,-0.28315,-0.28276999999999997,-0.28239,-0.28201,-0.28163,-0.28125500000000003,-0.28086999999999995,-0.28045,-0.27920500000000004,-0.276795,-0.274385,-0.27197499999999997,-0.269565,-0.26715999999999995,-0.26475,-0.262335,-0.25992499999999996,-0.25751999999999997,-0.254895,-0.25143,-0.247965,-0.244505,-0.240565,-0.23633500000000002,-0.23223,-0.22900500000000001,-0.22577999999999998,-0.22296,-0.22033,-0.21653499999999998,-0.21275,-0.20883000000000002,-0.20423999999999998,-0.19965500000000003,-0.19508,-0.19111499999999998,-0.187195,-0.18328,-0.179895,-0.17768,-0.175475,-0.17327,-0.17107,-0.16872,-0.165995,-0.163285,-0.16057500000000002,-0.157865,-0.155655,-0.15426499999999999,-0.152615,-0.15095999999999998,-0.149315,-0.14767,-0.14603,-0.14438,-0.14274,-0.1411,-0.1397,-0.139005,-0.13831,-0.137615,-0.13692500000000002,-0.13622499999999998,-0.13566,-0.135125,-0.134585,-0.134045,-0.133405,-0.13273000000000001,-0.13206,-0.131385,-0.130715,-0.13004,-0.129365,-0.12869000000000003,-0.128015,-0.12734,-0.126665
MAGICC7,7c01a245-3e72-4681-b8d6-fc7ceadd2690,AIM/CGE,0.5,,,World,Modal Path_Probabilistic,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols|Indirect Effect,-0.863775,-0.7680899999999999,-0.93159,-0.9502299999999999,-0.7823899999999999,-0.72444,-0.725025,-0.826855,-0.8369949999999999,-0.833005,-0.864835,-0.855695,-0.88036,-0.8105100000000001,-0.790295,-0.8736900000000001,-0.8087850000000001,-0.854645,-0.80646,-0.85043,-0.83941,-0.83971,-0.840005,-0.8403050000000001,-0.840595,-0.8403499999999999,-0.8395699999999999,-0.838785,-0.838005,-0.837225,-0.8364400000000001,-0.835655,-0.83487,-0.834085,-0.8332999999999999,-0.8307549999999999,-0.82643,-0.8220799999999999,-0.817715,-0.813345,-0.808945,-0.80453,-0.800095,-0.795645,-0.79118,-0.78422,-0.7747299999999999,-0.76517,-0.755525,-0.74578,-0.73594,-0.72603,-0.716025,-0.70591,-0.69541,-0.68104,-0.66339,-0.64544,-0.6272,-0.60869,-0.58988,-0.57072,-0.5529999999999999,-0.5359700000000001,-0.518645,-0.50485,-0.49476000000000003,-0.485145,-0.473445,-0.46162000000000003,-0.449685,-0.43764000000000003,-0.42547999999999997,-0.41324,-0.403545,-0.39637500000000003,-0.39176500000000003,-0.386625,-0.3811,-0.37676,-0.37246,-0.36813,-0.36367,-0.358925,-0.35414999999999996,-0.350615,-0.34833000000000003,-0.346045,-0.34375500000000003,-0.34146,-0.33915,-0.33685,-0.334535,-0.33221500000000004,-0.329895,-0.327635,-0.325445,-0.323245,-0.32055999999999996,-0.31752,-0.314465,-0.3114,-0.30833,-0.30526,-0.30218,-0.29908999999999997
MAGICC7,7c01a245-3e72-4681-b8d6-fc7ceadd2690,AIM/CGE,0.5,,,World,Modal Path_Probabilistic,climate,not_relevant,W/m^2,Effective Radiative Forcing|CH4,0.47623000000000004,0.47691,0.47846999999999995,0.481705,0.48460000000000003,0.484475,0.48389000000000004,0.484755,0.48644,0.48663999999999996,0.48628,0.48626,0.488265,0.49171,0.49302500000000005,0.49509499999999995,0.49695,0.49771,0.500335,0.503525,0.50726,0.5125649999999999,0.517685,0.5227299999999999,0.5277050000000001,0.5326,0.537405,0.54218,0.5468949999999999,0.551695,0.5566949999999999,0.561665,0.566615,0.571545,0.5764499999999999,0.5813349999999999,0.5862,0.5907849999999999,0.5951200000000001,0.599205,0.603055,0.60669,0.610125,0.61339,0.616495,0.61946,0.6223099999999999,0.624765,0.62688,0.62872,0.63025,0.63148,0.63242,0.63298,0.6332150000000001,0.6332450000000001,0.633105,0.63249,0.63161,0.63043,0.628875,0.626965,0.6247199999999999,0.622025,0.6188899999999999,0.6154850000000001,0.61105,0.606975,0.603495,0.6001000000000001,0.59674,0.59336,0.59001,0.586685,0.58338,0.5801050000000001,0.576875,0.57399,0.571435,0.569175,0.5672,0.565485,0.5640149999999999,0.562765,0.561715,0.560835,0.56012,0.559635,0.559385,0.5593699999999999,0.559555,0.55994,0.560505,0.5612349999999999,0.56211,0.5631200000000001,0.56423,0.565485,0.56687,0.5683750000000001,0.5700099999999999,0.5717749999999999,0.573665,0.575655,0.57775,0.579925
