climate_model,data_id,model,quantile,reference_period_end_year,reference_period_start_year,region,scenario,stage,todo,unit,variable,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
MAGICC7,e30ef0fe-90dd-4826-b1e9-4eb2eb18edc9,AIM/CGE,0.5,,,World,Technical Challenges_Probabilistic,climate,not_relevant,10^22 J,Heat Content,45.231345000000005,46.537605,47.688424999999995,48.81037499999999,50.072475,51.442,52.69581,53.90844,55.148435,56.328869999999995,57.48314,58.667625,59.79215,60.986965,62.283425,63.59237,65.04854,66.54186,68.1013,69.68786,71.24696,72.77717,74.2173,75.621215,76.97097,78.533435,79.991785,81.57231999999999,83.20781,84.87897000000001,86.53745,88.102575,89.58631,91.11236,92.68202,94.2601,95.85068000000001,97.38405,98.90074,100.46946,102.10996,103.91483,105.67271,107.33258,108.97875,110.62622,112.2777,114.13291000000001,116.129685,118.23761999999999,120.38556,122.57309000000001,124.90705,127.212595,129.41822000000002,131.663025,133.910425,136.01106,138.101405,140.263725,142.46203500000001,144.705035,146.970325,149.24479,151.53102,153.80835000000002,155.935135,157.93725999999998,159.9382,161.94402,163.960095,166.002025,168.07409,170.18009,172.45744000000002,174.74982,177.03857,179.278485,181.592635,184.098095,186.60994499999998,189.06850500000002,191.08703,193.127835,195.254615,197.84219000000002,200.596335,203.27075,205.36433,207.45317,209.53684,211.61687,213.7018,215.79568,217.90454,220.0356,222.18674,224.42928999999998,226.794095,229.14417500000002,231.53638999999998,233.940035,236.340715,238.74694499999998,241.17041,243.62772999999999
MAGICC7,e30ef0fe-90dd-4826-b1e9-4eb2eb18edc9,AIM/CGE,0.5,,,World,Technical Challenges_Probabilistic,climate,not_relevant,10^22 J,Heat Content|Ocean,40.517615,41.62312,42.68804,43.66229,44.89057,46.22813,47.50356,48.64854,49.69115,50.665775,51.631975,52.614215,53.66794,54.790495,55.94464,57.14576,58.45267,59.79181,61.18343,62.5018,63.644515,64.73396500000001,65.91554,67.11756500000001,68.341425,69.58804,70.87069,72.19272,73.53694,74.90412,76.397295,77.89616000000001,79.40349,80.868255,82.27450999999999,83.63959,84.86256,86.10739,87.394685,88.750215,90.204155,91.79299,93.33619999999999,94.851445,96.25677,97.651875,99.126445,100.70686,102.09583,103.74280999999999,105.74697499999999,107.49863500000001,109.28365,110.85072,112.40027,113.97750500000001,115.617475,117.25887,118.88008,120.41058,121.97685,123.833925,125.91191,127.763425,129.62303,131.527315,133.414895,135.16215499999998,136.978475,138.816675,140.66573,142.539405,144.44125,146.39969,148.48597,150.47807,152.28797500000002,154.41430000000003,156.539015,158.626955,160.67716000000001,162.73325499999999,164.40947,166.29309999999998,168.355955,170.441615,172.479275,174.50046500000002,176.50907999999998,178.50732499999998,180.490025,182.314615,184.101295,185.89761,187.71364499999999,189.56184000000002,191.58345,193.71635,195.85236500000002,197.958955,200.03967,202.099685,204.152125,206.207235,208.27887,210.38644499999998
MAGICC7,e30ef0fe-90dd-4826-b1e9-4eb2eb18edc9,AIM/CGE,0.5,,,World,Technical Challenges_Probabilistic,climate,not_relevant,GtC / yr,Net Atmosphere to Land Flux|CO2,0.8814249999999999,0.94779,0.08243500000000001,1.076535,1.184245,1.16232,1.35752,1.286105,1.4897,1.28343,1.3932,1.394415,1.50094,1.90237,1.777825,1.783235,1.770335,1.73444,1.90768,1.65223,1.8968699999999998,1.94178,1.99016,2.06727,2.132855,2.15883,2.186565,2.200795,2.226185,2.2593050000000003,2.29364,2.32941,2.366935,2.40496,2.44318,2.4812000000000003,2.519665,2.548855,2.57615,2.5977550000000003,2.605845,2.606805,2.6107950000000004,2.610545,2.617455,2.6289,2.638565,2.64008,2.63487,2.6254,2.62584,2.633835,2.6587750000000003,2.6671,2.6581900000000003,2.646705,2.636805,2.62821,2.618755,2.61367,2.61225,2.60815,2.59262,2.5709400000000002,2.5471,2.517005,2.4907,2.470135,2.45491,2.4427250000000003,2.436885,2.4145849999999998,2.389855,2.36612,2.34694,2.34221,2.34676,2.3430999999999997,2.33178,2.3260199999999998,2.31807,2.30867,2.294915,2.28375,2.27019,2.25386,2.235145,2.21905,2.20486,2.20483,2.220885,2.2183349999999997,2.210445,2.19831,2.1792949999999998,2.152585,2.119475,2.0871750000000002,2.0671049999999997,2.06682,2.082745,2.100075,2.09924,2.09037,2.07869,2.05846
MAGICC7,e30ef0fe-90dd-4826-b1e9-4eb2eb18edc9,AIM/CGE,0.5,,,World,Technical Challenges_Probabilistic,climate,not_relevant,GtC / yr,Net Atmosphere to Ocean Flux|CO2,1.7400950000000002,1.693395,1.61344,1.7856049999999999,1.85254,1.729435,1.69958,1.799015,1.94835,1.93798,1.923715,1.9855450000000001,1.96755,1.9951599999999998,1.97439,2.03502,2.11571,2.09736,2.1863400000000004,2.156285,2.176615,2.2793200000000002,2.359135,2.414365,2.45969,2.5043249999999997,2.544505,2.57333,2.60541,2.63757,2.672105,2.70899,2.743925,2.781815,2.812885,2.8415,2.873785,2.89748,2.916035,2.92901,2.9370849999999997,2.94745,2.959615,2.9747199999999996,2.988195,3.0036899999999997,3.023285,3.0359949999999998,3.04236,3.044705,3.04392,3.0337199999999998,3.02553,3.0239149999999997,3.0242250000000004,3.0240799999999997,3.025575,3.02409,3.01785,3.007405,2.9947150000000002,2.9790900000000002,2.9623850000000003,2.95019,2.938975,2.92706,2.91821,2.90914,2.89879,2.8865299999999996,2.874925,2.862915,2.84922,2.830585,2.81445,2.804285,2.801995,2.80412,2.8015,2.7951699999999997,2.79096,2.7821249999999997,2.771595,2.75784,2.74207,2.724965,2.7103099999999998,2.702205,2.696185,2.6928400000000003,2.68758,2.682765,2.675985,2.66548,2.65428,2.64085,2.625545,2.614135,2.6068350000000002,2.603605,2.60439,2.6039149999999998,2.60178,2.59581,2.5894250000000003,2.582535
MAGICC7,e30ef0fe-90dd-4826-b1e9-4eb2eb18edc9,AIM/CGE,0.5,1900.0,1850.0,World,Technical Challenges_Probabilistic,climate,not_relevant,K,Surface Temperature,0.5437014362745096,0.6063378088235292,0.6378088872549018,0.6743942794117646,0.7324486911764704,0.7715633970588234,0.8047381029411763,0.8229721225490194,0.8385382009803919,0.8516215343137252,0.8628564362745096,0.8769357499999999,0.8934776127450978,0.9215319264705881,0.9468021225490195,0.9692401617647057,1.0001383970588233,1.0244008480392155,1.0560352598039213,1.0796494754901957,1.1016102598039212,1.1213257499999998,1.1427158480392154,1.1648974166666666,1.1886491813725488,1.2120451617647057,1.2410069264705879,1.2696555539215684,1.3015118284313723,1.3319618284313723,1.3576390833333332,1.3804651617647057,1.4021851617647059,1.4257013382352939,1.448461338235294,1.4717113382352938,1.4964286911764704,1.5239755539215682,1.5528555539215685,1.5858855539215684,1.6174355539215683,1.6504951617647057,1.6814401617647055,1.7116401617647057,1.7379324166666665,1.7605724166666665,1.782783200980392,1.8071832009803919,1.8330132009803919,1.860663200980392,1.89339937745098,1.92806937745098,1.9593101617647057,1.9888051617647056,2.0146601617647057,2.0370301617647053,2.0589351617647056,2.0807401617647057,2.1025301617647054,2.1255901617647055,2.1510251617647054,2.1784851617647054,2.2054334950980388,2.234228495098039,2.2627184950980386,2.288273495098039,2.310677514705882,2.329397514705882,2.348567514705882,2.370762024509803,2.394197024509803,2.4180541813725487,2.4434191813725485,2.46849300490196,2.4905230049019607,2.5097980049019606,2.52658300490196,2.5429030049019605,2.5594730049019603,2.575738004901961,2.5922430049019605,2.6090030049019606,2.62685800490196,2.6466780049019607,2.6680030049019603,2.6896130049019606,2.710043004901961,2.7293680049019606,2.7468880049019604,2.76372800490196,2.7790530049019604,2.7970168284313726,2.8161584950980387,2.837138495098039,2.859648495098039,2.8841084950980393,2.9092834950980393,2.935358495098039,2.9592684950980392,2.980583495098039,3.000743495098039,3.020053495098039,3.0397734950980393,3.0598884950980394,3.0794857500000004,3.10031575
MAGICC7,e30ef0fe-90dd-4826-b1e9-4eb2eb18edc9,AIM/CGE,0.5,,,World,Technical Challenges_Probabilistic,climate,not_relevant,W/m^2,Effective Radiative Forcing,1.70978,1.782985,1.68762,1.86044,2.062045,2.07276,2.08708,2.07626,2.09088,2.10328,2.09244,2.139015,2.16634,2.27256,2.32048,2.319525,2.456915,2.47882,2.5719700000000003,2.5522549999999997,2.59288,2.5965,2.628555,2.667555,2.7175450000000003,2.77412,2.85504,2.9252,2.9835700000000003,3.036165,3.06916,3.1112,3.1465449999999997,3.18781,3.2278000000000002,3.2795300000000003,3.32873,3.3780200000000002,3.44951,3.5275350000000003,3.58069,3.63708,3.679045,3.72953,3.762885,3.799125,3.83929,3.88321,3.92983,3.9798,4.03912,4.094005,4.15288,4.19234,4.2214,4.244375,4.2783999999999995,4.304175,4.33406,4.37695,4.43118,4.488185,4.526015,4.565765,4.607615,4.634905,4.6608350000000005,4.692975000000001,4.726915,4.757384999999999,4.795325,4.849715,4.8986149999999995,4.93702,4.96457,4.986475,4.998855000000001,5.02379,5.049885,5.06675,5.087165000000001,5.111454999999999,5.14927,5.198635,5.24849,5.289955,5.31875,5.35131,5.374745,5.403785,5.41638,5.433954999999999,5.461245,5.490755,5.533245,5.583195,5.626645,5.67582,5.69184,5.69794,5.708209999999999,5.71586,5.73874,5.762975,5.80082,5.849105
MAGICC7,e30ef0fe-90dd-4826-b1e9-4eb2eb18edc9,AIM/CGE,0.5,,,World,Technical Challenges_Probabilistic,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols,-1.16993,-1.110475,-1.2422900000000001,-1.2611050000000001,-1.09968,-1.07604,-1.0767,-1.13929,-1.1570049999999998,-1.15759,-1.183865,-1.18078,-1.18802,-1.12779,-1.097835,-1.16647,-1.0999,-1.15506,-1.09594,-1.15202,-1.13991,-1.13954,-1.13918,-1.13825,-1.1367,-1.1362700000000001,-1.136235,-1.136205,-1.13617,-1.136135,-1.136095,-1.1360649999999999,-1.1360299999999999,-1.135995,-1.135955,-1.13448,-1.13111,-1.127735,-1.12435,-1.1209600000000002,-1.1175700000000002,-1.1141649999999998,-1.11076,-1.10735,-1.1039349999999999,-1.09964,-1.0941049999999999,-1.088565,-1.083005,-1.077415,-1.0718,-1.0661800000000001,-1.060535,-1.054865,-1.049175,-1.04157,-1.03173,-1.0218099999999999,-1.011835,-1.0018099999999999,-0.9917199999999999,-0.981565,-0.9713350000000001,-0.96106,-0.950715,-0.9411849999999999,-0.932615,-0.92401,-0.91536,-0.906655,-0.897895,-0.889105,-0.880265,-0.871365,-0.86242,-0.854255,-0.84699,-0.839685,-0.8323400000000001,-0.824975,-0.8175699999999999,-0.810125,-0.802635,-0.79512,-0.78757,-0.78095,-0.775875,-0.77101,-0.76614,-0.76124,-0.756335,-0.7514149999999999,-0.74648,-0.741395,-0.7359100000000001,-0.73037,-0.724905,-0.71942,-0.7139150000000001,-0.708405,-0.70293,-0.69746,-0.69196,-0.68645,-0.68092,-0.67537
MAGICC7,e30ef0fe-90dd-4826-b1e9-4eb2eb18edc9,AIM/CGE,0.5,,,World,Technical Challenges_Probabilistic,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols|Direct Effect,-0.351425,-0.350525,-0.354645,-0.355305,-0.335125,-0.336895,-0.33443,-0.327515,-0.33284,-0.33883,-0.3373,-0.33032,-0.32462,-0.31991,-0.301115,-0.291845,-0.289845,-0.28844,-0.28503,-0.288235,-0.28863,-0.28809,-0.28756,-0.28705,-0.284785,-0.283975,-0.28386500000000003,-0.28376,-0.28366,-0.283545,-0.28344,-0.28332999999999997,-0.28322,-0.283115,-0.28300000000000003,-0.28265,-0.28135,-0.27985499999999996,-0.278355,-0.27686,-0.27536499999999997,-0.273865,-0.27236499999999997,-0.270865,-0.26936499999999997,-0.26812,-0.26683999999999997,-0.265555,-0.264275,-0.26299,-0.26170499999999997,-0.260425,-0.25914,-0.257865,-0.256575,-0.254775,-0.2522,-0.24963,-0.247055,-0.24448,-0.24153000000000002,-0.238505,-0.23603000000000002,-0.233555,-0.23108499999999998,-0.228725,-0.226825,-0.225435,-0.224045,-0.22265,-0.22126,-0.21987,-0.21848499999999998,-0.217035,-0.2155,-0.214145,-0.213085,-0.211975,-0.210755,-0.20953,-0.20831,-0.20708,-0.205855,-0.204635,-0.20340999999999998,-0.20218,-0.20129,-0.2004,-0.199515,-0.198625,-0.19773000000000002,-0.196845,-0.19595,-0.19506,-0.194105,-0.19285,-0.19154,-0.190235,-0.188925,-0.18762,-0.18631,-0.185,-0.18369,-0.18238500000000002,-0.18107499999999999,-0.17976
MAGICC7,e30ef0fe-90dd-4826-b1e9-4eb2eb18edc9,AIM/CGE,0.5,,,World,Technical Challenges_Probabilistic,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols|Indirect Effect,-0.863775,-0.7680899999999999,-0.93159,-0.9502299999999999,-0.7823899999999999,-0.72444,-0.725025,-0.826855,-0.8369949999999999,-0.833005,-0.864835,-0.855695,-0.88036,-0.8105100000000001,-0.790295,-0.8736900000000001,-0.8087850000000001,-0.854645,-0.80646,-0.85043,-0.83941,-0.83971,-0.840005,-0.8403050000000001,-0.8406,-0.840715,-0.84067,-0.84062,-0.84057,-0.8405199999999999,-0.84047,-0.84042,-0.8403700000000001,-0.84032,-0.8402700000000001,-0.839135,-0.8369,-0.83466,-0.832415,-0.83017,-0.82792,-0.8256650000000001,-0.8234,-0.821135,-0.818865,-0.81558,-0.811275,-0.806955,-0.80262,-0.798265,-0.793885,-0.7895,-0.785095,-0.7806649999999999,-0.77622,-0.770265,-0.762775,-0.7552300000000001,-0.747625,-0.7399800000000001,-0.732275,-0.724505,-0.71668,-0.708805,-0.7008749999999999,-0.693635,-0.68707,-0.6799,-0.67269,-0.66542,-0.65811,-0.65076,-0.64336,-0.6359,-0.6284,-0.62153,-0.61531,-0.60904,-0.60274,-0.59642,-0.59005,-0.58365,-0.5772,-0.57073,-0.56423,-0.55863,-0.55395,-0.5493250000000001,-0.545285,-0.5412250000000001,-0.53714,-0.53305,-0.52894,-0.524805,-0.520655,-0.5165649999999999,-0.5125299999999999,-0.508475,-0.5044,-0.50031,-0.496205,-0.49207999999999996,-0.487935,-0.483775,-0.4796,-0.47540499999999997
MAGICC7,e30ef0fe-90dd-4826-b1e9-4eb2eb18edc9,AIM/CGE,0.5,,,World,Technical Challenges_Probabilistic,climate,not_relevant,W/m^2,Effective Radiative Forcing|CH4,0.47623000000000004,0.47691,0.47846999999999995,0.481705,0.48460000000000003,0.484475,0.48389000000000004,0.484755,0.48644,0.48663999999999996,0.48628,0.48626,0.488265,0.49171,0.49302500000000005,0.49509499999999995,0.49695,0.49771,0.500335,0.503525,0.50726,0.5125649999999999,0.517685,0.5227299999999999,0.5277050000000001,0.5326,0.5374099999999999,0.54222,0.547015,0.55193,0.557065,0.5622149999999999,0.567355,0.572505,0.57765,0.5827899999999999,0.5879300000000001,0.59289,0.597685,0.602325,0.6068,0.611125,0.61532,0.619395,0.623365,0.62725,0.6310549999999999,0.6347,0.6382,0.64156,0.6448,0.64796,0.65098,0.65389,0.656685,0.659225,0.66169,0.6640299999999999,0.666255,0.6683699999999999,0.67038,0.672285,0.67423,0.67612,0.67792,0.6796500000000001,0.681315,0.6829700000000001,0.68455,0.68605,0.6875249999999999,0.688925,0.68975,0.6907099999999999,0.6920649999999999,0.693395,0.69472,0.69609,0.6975100000000001,0.698965,0.700455,0.7019850000000001,0.703535,0.705075,0.70663,0.70819,0.709745,0.711255,0.7127600000000001,0.714265,0.71577,0.717285,0.71882,0.72035,0.721885,0.7234050000000001,0.7249,0.726405,0.7279100000000001,0.729425,0.73097,0.73256,0.73418,0.73583,0.73751,0.7392099999999999
