Year,CO2Emissions_MtCO2perYear
2015,39152.726
2016,39137.44546
2017,39122.16462
2018,39106.88378
2019,39091.60294
2020,39076.322
2021,39685.48122
2022,40294.64034
2023,40903.79946
2024,41512.95858
2025,42122.1177
2026,42731.27682
2027,43340.43593
2028,43949.59505
2029,44558.75417
2030,45167.913
2031,45465.4145
2032,45762.91571
2033,46060.41693
2034,46357.91814
2035,46655.41935
2036,46952.92056
2037,47250.42177
2038,47547.92298
2039,47845.4242
2040,48142.925
2041,48166.41962
2042,48189.91382
2043,48213.40803
2044,48236.90224
2045,48260.39645
2046,48283.89066
2047,48307.38487
2048,48330.87908
2049,48354.37329
2050,48377.867
2051,48266.53481
2052,48155.20212
2053,48043.86943
2054,47932.53674
2055,47821.20405
2056,47709.87136
2057,47598.53867
2058,47487.20598
2059,47375.8733
2060,47264.541
2061,47005.44456
2062,46746.34851
2063,46487.25246
2064,46228.15641
2065,45969.06036
2066,45709.96431
2067,45450.86826
2068,45191.77221
2069,44932.67616
2070,44673.580
2071,43946.26611
2072,43218.95212
2073,42491.63812
2074,41764.32412
2075,41037.01012
2076,40309.69612
2077,39582.38213
2078,38855.06813
2079,38127.75413
2080,37400.440
2081,36623.51085
2082,35846.58157
2083,35069.65228
2084,34292.723
2085,33515.79371
2086,32738.86443
2087,31961.93515
2088,31185.00586
2089,30408.07658
2090,29631.147
2091,28860.53357
2092,28089.91984
2093,27319.30611
2094,26548.69239
2095,25778.07866
2096,25007.46493
2097,24236.8512
2098,23466.23748
2099,22695.62375
2100,21925.010
